start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.ManagerServlet	r1 := @parameter0: java.io.PrintWriter	0
r1 := @parameter0: java.io.PrintWriter	r2 := @parameter1: java.lang.String	0
r2 := @parameter1: java.lang.String	r3 := @parameter2: org.apache.catalina.util.ContextName	0
r3 := @parameter2: org.apache.catalina.util.ContextName	r4 := @parameter3: java.lang.String	0
r4 := @parameter3: java.lang.String	z0 := @parameter4: boolean	0
z0 := @parameter4: boolean	r5 := @parameter5: org.apache.tomcat.util.res.StringManager	0
r5 := @parameter5: org.apache.tomcat.util.res.StringManager	if r2 == null goto (branch)	0
if r2 == null goto (branch)	$i0 = virtualinvoke r2.<java.lang.String: int length()>()	0
if r2 == null goto (branch)	if r4 == null goto $i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
$i0 = virtualinvoke r2.<java.lang.String: int length()>()	if $i0 != 0 goto (branch)	0
if $i0 != 0 goto (branch)	r2 = null	0
if $i0 != 0 goto (branch)	if r4 == null goto $i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
r2 = null	if r4 == null goto $i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
if r4 == null goto $i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	$i1 = virtualinvoke r4.<java.lang.String: int length()>()	0
if r4 == null goto $i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	$i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
$i1 = virtualinvoke r4.<java.lang.String: int length()>()	if $i1 != 0 goto $i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
if $i1 != 0 goto $i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	r4 = null	0
if $i1 != 0 goto $i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	$i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
r4 = null	$i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
$i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	if $i2 < 1 goto $z1 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r3, r1, r5)	0
if $i2 < 1 goto $z1 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r3, r1, r5)	if r2 == null goto (branch)	0
if $i2 < 1 goto $z1 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r3, r1, r5)	$z1 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r3, r1, r5)	0
if r2 == null goto (branch)	$i3 = virtualinvoke r2.<java.lang.String: int length()>()	0
if r2 == null goto (branch)	if r3 == null goto $r28 = new java.lang.StringBuilder	0
$i3 = virtualinvoke r2.<java.lang.String: int length()>()	if $i3 <= 0 goto (branch)	0
