Node	CRUD	DataFlowValue
staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean copy(java.io.File,java.io.File)>($r53, r10)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r45, $r46, $r47, $r48, $r49, $r50, r10, $z7, $r53]	null
$r39 = virtualinvoke r5.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.inService", $r38)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r38]	null
$z5 = virtualinvoke $r40.<java.io.File: boolean mkdirs()>()	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40]	null
$i1 = virtualinvoke r4.<java.lang.String: int length()>()	[r0, r1, r2, r3, r4, z0, r5]	null
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r21)	[r0, r1, r2, r3, r4, z0, r5, $i2, $i3, $r18, $r19, $r20, $r21]	null
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r17)	[r0, r1, r2, r3, r4, z0, r5, $i2, $i3, $r12, $r13, $r14, $r15, $r16, $r17]	null
$r42 = newarray (java.lang.Object)[1]	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r41, $z6]	null
r8 = virtualinvoke r3.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7]	null
r60 = $r61	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $z10, $r61, $r62]	null
$z6 = virtualinvoke $r41.<java.io.File: boolean isDirectory()>()	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r41]	null
$r46 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase>	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r45]	null
$r69 = new java.lang.StringBuilder	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $r67, r68]	null
