start	end	CRUD_Test
r0 := @parameter0: java.lang.String[]	$r1 = new sample.functionB.MethodsB	0
$r1 = new sample.functionB.MethodsB	specialinvoke $r1.<sample.functionB.MethodsB: void <init>()>()	1
specialinvoke $r1.<sample.functionB.MethodsB: void <init>()>()	r2 = $r1	0
r2 = $r1	virtualinvoke r2.<sample.functionB.MethodsB: java.lang.String method01(int,int)>(1, 20)	1
r2 = $r1	$r5 := @caughtexception	1
virtualinvoke r2.<sample.functionB.MethodsB: java.lang.String method01(int,int)>(1, 20)	goto [?= return]	0
virtualinvoke r2.<sample.functionB.MethodsB: java.lang.String method01(int,int)>(1, 20)	$r5 := @caughtexception	0
goto [?= return]	return	0
$r5 := @caughtexception	r3 = $r5	0
r3 = $r5	virtualinvoke r3.<java.lang.Exception: void printStackTrace()>()	1
virtualinvoke r3.<java.lang.Exception: void printStackTrace()>()	return	0
