start	end	CRUD_Test
r0 := @this: simple.logic.Logic	$r1 = new java.util.ArrayList	0
r0 := @this: simple.logic.Logic	$r3 := @caughtexception	0
$r1 = new java.util.ArrayList	specialinvoke $r1.<java.util.ArrayList: void <init>()>()	1
$r1 = new java.util.ArrayList	$r3 := @caughtexception	1
specialinvoke $r1.<java.util.ArrayList: void <init>()>()	r0.<simple.logic.Logic: java.util.List data> = $r1	0
specialinvoke $r1.<java.util.ArrayList: void <init>()>()	$r3 := @caughtexception	0
r0.<simple.logic.Logic: java.util.List data> = $r1	r0.<simple.logic.Logic: java.lang.String code> = "0"	1
r0.<simple.logic.Logic: java.util.List data> = $r1	$r3 := @caughtexception	1
r0.<simple.logic.Logic: java.lang.String code> = "0"	goto [?= $r6 = r0.<simple.logic.Logic: java.util.logging.Logger logger>]	1
r0.<simple.logic.Logic: java.lang.String code> = "0"	$r3 := @caughtexception	1
goto [?= $r6 = r0.<simple.logic.Logic: java.util.logging.Logger logger>]	$r6 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	0
$r3 := @caughtexception	r2 = $r3	0
r2 = $r3	$r4 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	1
$r4 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	$r5 = <java.util.logging.Level: java.util.logging.Level WARNING>	1
$r5 = <java.util.logging.Level: java.util.logging.Level WARNING>	virtualinvoke $r4.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r5, "Fail to execute create method.")	1
virtualinvoke $r4.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r5, "Fail to execute create method.")	r0.<simple.logic.Logic: java.lang.String code> = "254"	0
r0.<simple.logic.Logic: java.lang.String code> = "254"	$r6 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	1
$r6 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	$r7 = <java.util.logging.Level: java.util.logging.Level INFO>	1
$r7 = <java.util.logging.Level: java.util.logging.Level INFO>	virtualinvoke $r6.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r7, "Success create method execution.")	1
virtualinvoke $r6.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r7, "Success create method execution.")	$r8 = r0.<simple.logic.Logic: java.lang.String code>	0
$r8 = r0.<simple.logic.Logic: java.lang.String code>	return $r8	1
