start	end	CRUD_Test
r0 := @this: org.apache.catalina.manager.ManagerServlet	r1 := @parameter0: java.io.PrintWriter	0
r1 := @parameter0: java.io.PrintWriter	r2 := @parameter1: org.apache.catalina.util.ContextName	0
r2 := @parameter1: org.apache.catalina.util.ContextName	r3 := @parameter2: org.apache.tomcat.util.res.StringManager	0
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	0
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	1
if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	$r12 = new java.lang.StringBuilder	0
if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	0
$r12 = new java.lang.StringBuilder	specialinvoke $r12.<java.lang.StringBuilder: void <init>(java.lang.String)>("undeploy: Undeploying web application at \'")	1
specialinvoke $r12.<java.lang.StringBuilder: void <init>(java.lang.String)>("undeploy: Undeploying web application at \'")	$r13 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r2)	0
$r13 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r2)	$r14 = virtualinvoke $r13.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	1
$r14 = virtualinvoke $r13.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r15)	1
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r15)	$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	0
$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	if $z0 != 0 goto r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	1
if $z0 != 0 goto r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	return	0
if $z0 != 0 goto r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	0
r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	r5 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getBaseName()>()	1
r5 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getBaseName()>()	r6 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	1
r6 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	$r16 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	1
r6 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	$r51 := @caughtexception	1
$r16 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	$r17 = interfaceinvoke $r16.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>(r4)	1
$r16 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	$r51 := @caughtexception	1
$r17 = interfaceinvoke $r16.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>(r4)	r7 = (org.apache.catalina.Context) $r17	1
$r17 = interfaceinvoke $r16.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>(r4)	$r51 := @caughtexception	1
r7 = (org.apache.catalina.Context) $r17	if r7 != null goto $z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isDeployed(java.lang.String)>(r4)	1
r7 = (org.apache.catalina.Context) $r17	$r51 := @caughtexception	1
if r7 != null goto $z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isDeployed(java.lang.String)>(r4)	$r18 = newarray (java.lang.Object)[1]	0
if r7 != null goto $z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isDeployed(java.lang.String)>(r4)	$z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isDeployed(java.lang.String)>(r4)	0
if r7 != null goto $z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isDeployed(java.lang.String)>(r4)	$r51 := @caughtexception	0
$r18 = newarray (java.lang.Object)[1]	$r19 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r6)	1
$r18 = newarray (java.lang.Object)[1]	$r51 := @caughtexception	1
$r19 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r6)	$r18[0] = $r19	1
$r19 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r6)	$r51 := @caughtexception	1
$r18[0] = $r19	$r20 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r18)	1
$r18[0] = $r19	$r51 := @caughtexception	1
