Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	r0
if r4 == null goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r6)	R	$r4
if $i2 < 1 goto $z1 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r3, r1, r5)	R	$r3
specialinvoke $r22.<java.lang.StringBuilder: void <init>(java.lang.String)>("install: Installing web application \'")	R	$r22
if r2 == null goto (branch)	R	$r2
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r35)	R	$r1
$r23 = virtualinvoke $r22.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r3)	U	$r23
goto [?= virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r6)]	R	null
if $z12 != 0 goto $r65 = new java.io.File	R	$r65
$r35 = virtualinvoke r5.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.alreadyContext", $r34)	U	$r35
$r56 = new java.lang.StringBuilder	C	$r56
$r58 = virtualinvoke $r56.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".war")	U	$r58
$r29 = virtualinvoke $r28.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	$r29
$r49 = virtualinvoke $r47.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".xml")	U	$r49
specialinvoke $r45.<java.io.File: void <init>(java.io.File,java.lang.String)>($r46, $r50)	R	$r45
if r4 == null goto $z4 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isServiced(java.lang.String)>(r6)	R	$r4
r1 := @parameter0: java.io.PrintWriter	R	r1
$z12 = staticinvoke <org.apache.catalina.startup.ExpandWar: boolean delete(java.io.File)>(r60)	U	$z12
$r46 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase>	U	$r46
$r38 = newarray (java.lang.Object)[1]	C	$r38
$z2 = virtualinvoke r2.<java.lang.String: boolean startsWith(java.lang.String)>("file:")	U	$z2
$r51[0] = r10	U	$r51[0]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r31)	R	$r0
goto [?= specialinvoke r0.<org.apache.catalina.manager.ManagerServlet: void writeDeployResult(java.io.PrintWriter,org.apache.tomcat.util.res.StringManager,java.lang.String,java.lang.String)>(r1, r5, r6, r8)]	R	null
$r73 = newarray (java.lang.Object)[1]	C	$r73
$r50 = virtualinvoke $r49.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r50
if $z10 == 0 goto $r61 = new java.io.File	R	$r61
$r39 = virtualinvoke r5.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.inService", $r38)	U	$r39
$r51 = newarray (java.lang.Object)[1]	C	$r51
if $z6 != 0 goto $r45 = new java.io.File	R	$r45
if $z7 == 0 goto $r53 = new java.io.File	R	$r53
$i3 = virtualinvoke r2.<java.lang.String: int length()>()	U	$i3
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	$r15
$r71 = virtualinvoke $r70.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	U	$r71
throw r11	R	$r11
specialinvoke $r12.<java.lang.StringBuilder: void <init>(java.lang.String)>("install: Installing context configuration at \'")	R	$r12
$r75 = virtualinvoke r5.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r73)	U	$r75
$r69 = new java.lang.StringBuilder	C	$r69
