Node	CRUD	DataFlowValue
r0 := @this: simple.logic.Logic	R	r0
return $r19	R	$r19
$r22 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	U	$r22
$r11 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r10)	U	$r11
$r7 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	U	$r7
i0 = $i3	U	i0
r21 = $r20	U	r21
$r20 := @caughtexception	R	$r20
$i3 = virtualinvoke r3.<java.io.FileReader: int read()>()	U	$i3
$r25 = "254"	U	$r25
specialinvoke $r9.<java.lang.StringBuilder: void <init>(java.lang.String)>("Read data which is ")	R	$r9
virtualinvoke $r16.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r17, $r18)	R	$r16
$r8 = <java.util.logging.Level: java.util.logging.Level INFO>	U	$r8
r0.<simple.logic.Logic: int flag> = 1	U	r0.<simple.logic.Logic: int flag>
r3 = $r4	U	r3
interfaceinvoke $r5.<java.util.List: boolean add(java.lang.Object)>($r6)	R	$r5
r0.<simple.logic.Logic: java.lang.String code> = $r25	U	r0.<simple.logic.Logic: java.lang.String code>
$r10 = staticinvoke <java.lang.String: java.lang.String valueOf(char)>($c2)	U	$r10
goto [?= $r26 = r0.<simple.logic.Logic: java.util.logging.Logger logger>]	R	null
virtualinvoke $r7.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r8, $r13)	R	$r7
virtualinvoke $r26.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r27, "Success read method execution.")	R	$r26
r15 = $r14	U	r15
$r4 = new java.io.FileReader	C	$r4
specialinvoke $r1.<java.io.File: void <init>(java.lang.String)>("test.txt")	R	$r1
$r19 = "254"	U	$r19
$r9 = new java.lang.StringBuilder	C	$r9
$r16 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	U	$r16
$r5 = r0.<simple.logic.Logic: java.util.List data>	U	$r5
r0.<simple.logic.Logic: java.lang.String code> = $r19	U	r0.<simple.logic.Logic: java.lang.String code>
goto [?= $i3 = virtualinvoke r3.<java.io.FileReader: int read()>()]	R	null
virtualinvoke $r22.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r23, $r24)	R	$r22
$r18 = virtualinvoke r15.<java.io.FileNotFoundException: java.lang.String toString()>()	U	$r18
$r6 = staticinvoke <java.lang.String: java.lang.String valueOf(char)>($c1)	U	$r6
$r24 = virtualinvoke r21.<java.io.IOException: java.lang.String toString()>()	U	$r24
r2 = $r1	U	r2
specialinvoke $r4.<java.io.FileReader: void <init>(java.io.File)>(r2)	R	$r4
$c2 = (char) i0	U	$c2
$r28 = r0.<simple.logic.Logic: java.lang.String code>	U	$r28
$r13 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r13
return $r28	R	$r28
$r26 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	U	$r26
$c1 = (char) i0	U	$c1
return $r25	R	$r25
$r12 = virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".")	U	$r12
$r27 = <java.util.logging.Level: java.util.logging.Level INFO>	U	$r27
if $i3 != -1 goto $r5 = r0.<simple.logic.Logic: java.util.List data>	R	$r5
$r23 = <java.util.logging.Level: java.util.logging.Level WARNING>	U	$r23
$r14 := @caughtexception	R	$r14
$r1 = new java.io.File	C	$r1
$r17 = <java.util.logging.Level: java.util.logging.Level WARNING>	U	$r17
virtualinvoke r3.<java.io.FileReader: void close()>()	R	$r3
