Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	r0
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	$i0
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	$r8
$r29[0] = $r30	U	$r29[0]
r5 = (org.apache.catalina.Context) $r12	U	r5
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r31)	R	$r1
$r24 = <org.apache.catalina.manager.ManagerServlet: org.apache.tomcat.util.res.StringManager sm>	U	$r24
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r9
$r13[0] = $r14	U	$r13[0]
$r6 = new java.lang.StringBuilder	C	$r6
r1 := @parameter0: java.io.PrintWriter	R	r1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	R	$r1
$r10 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	$r10
r22 = $r21	U	r22
specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>("start: Starting web application \'")	R	$r6
$r14 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r4)	U	$r14
$r28 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.startFailed", $r27)	U	$r28
if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	R	$r2
$r17[0] = r4	U	$r17[0]
r2 := @parameter1: org.apache.catalina.util.ContextName	R	r2
$r25[0] = r4	U	$r25[0]
$z1 = virtualinvoke $r16.<org.apache.catalina.LifecycleState: boolean isAvailable()>()	U	$z1
$r11 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	U	$r11
$r13 = newarray (java.lang.Object)[1]	C	$r13
$r26 = virtualinvoke $r24.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.startFailed", $r25)	U	$r26
$r31 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r29)	U	$r31
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	R	r3
if $z0 != 0 goto r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	R	$r4
$r25 = newarray (java.lang.Object)[1]	C	$r25
$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	U	$z0
$r16 = interfaceinvoke r5.<org.apache.catalina.Context: org.apache.catalina.LifecycleState getState()>()	U	$r16
$r20 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.startFailed", $r19)	U	$r20
$r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r2)	U	$r7
$r18 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.started", $r17)	U	$r18
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r20)	R	$r1
$r27[0] = r4	U	$r27[0]
$r30 = virtualinvoke r22.<java.lang.Throwable: java.lang.String toString()>()	U	$r30
if $z1 == 0 goto $r19 = newarray (java.lang.Object)[1]	R	$r19
goto [?= return]	R	null
$r29 = newarray (java.lang.Object)[1]	C	$r29
$r19[0] = r4	U	$r19[0]
interfaceinvoke r5.<org.apache.catalina.Context: void start()>()	R	$r5
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r22)	R	$r22
$r12 = interfaceinvoke $r10.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r11)	U	$r12
$r15 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r13)	U	$r15
return	R	null
interfaceinvoke $r23.<javax.servlet.ServletContext: void log(java.lang.String,java.lang.Throwable)>($r26, r22)	R	$r23
r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	r4
$r17 = newarray (java.lang.Object)[1]	C	$r17
$r27 = newarray (java.lang.Object)[1]	C	$r27
$r21 := @caughtexception	R	$r21
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r9)	R	$r0
$r19 = newarray (java.lang.Object)[1]	C	$r19
$r23 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: javax.servlet.ServletContext getServletContext()>()	U	$r23
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r28)	R	$r1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r18)	R	$r1
if r5 != null goto interfaceinvoke r5.<org.apache.catalina.Context: void start()>()	R	$r5
