Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	r0
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	$i0
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	$r8
r5 = (org.apache.catalina.Context) $r12	U	r5
$r27 = virtualinvoke $r26.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r27
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r9
$r13[0] = $r14	U	$r13[0]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r27, r23)	R	$r0
$r28[0] = $r29	U	$r28[0]
$r6 = new java.lang.StringBuilder	C	$r6
r1 := @parameter0: java.io.PrintWriter	R	r1
r23 = $r22	U	r23
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	R	$r1
$r10 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	$r10
$r30 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r28)	U	$r30
$r28 = newarray (java.lang.Object)[1]	C	$r28
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r19)	R	$r1
$r29 = virtualinvoke r23.<java.lang.Throwable: java.lang.String toString()>()	U	$r29
$r14 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r4)	U	$r14
if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	R	$r2
r2 := @parameter1: org.apache.catalina.util.ContextName	R	r2
$r25 = virtualinvoke $r24.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	$r25
if r5 != null goto $r16 = interfaceinvoke r5.<org.apache.catalina.Context: java.lang.String getName()>()	R	$r5
$r11 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	U	$r11
$r21 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.stopped", $r20)	U	$r21
$r13 = newarray (java.lang.Object)[1]	C	$r13
$r18 = interfaceinvoke $r17.<org.apache.catalina.Context: java.lang.String getName()>()	U	$r18
$r16 = interfaceinvoke r5.<org.apache.catalina.Context: java.lang.String getName()>()	U	$r16
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	R	r3
if $z1 == 0 goto interfaceinvoke r5.<org.apache.catalina.Context: void stop()>()	R	$r5
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r21)	R	$r1
if $z0 != 0 goto r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	R	$r4
$r22 := @caughtexception	R	$r22
interfaceinvoke r5.<org.apache.catalina.Context: void stop()>()	R	$r5
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r23)	R	$r23
$r20[0] = r4	U	$r20[0]
$r26 = virtualinvoke $r25.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	U	$r26
specialinvoke $r6.<java.lang.StringBuilder: void <init>(java.lang.String)>("stop: Stopping web application \'")	R	$r6
$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	U	$z0
$r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r2)	U	$r7
$r17 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	U	$r17
specialinvoke $r24.<java.lang.StringBuilder: void <init>(java.lang.String)>("ManagerServlet.stop[")	R	$r24
$r19 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noSelf")	U	$r19
goto [?= return]	R	null
$r20 = newarray (java.lang.Object)[1]	C	$r20
$r24 = new java.lang.StringBuilder	C	$r24
$r12 = interfaceinvoke $r10.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r11)	U	$r12
$r15 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r13)	U	$r15
return	R	null
r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	r4
$z1 = virtualinvoke $r16.<java.lang.String: boolean equals(java.lang.Object)>($r18)	U	$z1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r30)	R	$r1
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r9)	R	$r0
