Node	CRUD	DataFlowValue
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	r0
specialinvoke $r34.<java.io.File: void <init>(java.io.File,java.lang.String)>($r35, r5)	R	$r34
interfaceinvoke r7.<org.apache.catalina.Context: void stop()>()	R	$r7
$r16 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	$r16
$r21 = newarray (java.lang.Object)[1]	C	$r21
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r45)	R	$r1
$z7 = virtualinvoke r10.<java.io.File: boolean exists()>()	U	$z7
$r57[0] = $r58	U	$r57[0]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void addServiced(java.lang.String)>(r4)	R	$r0
r10 = $r36	U	r10
$z3 = virtualinvoke r33.<java.io.File: boolean exists()>()	U	$z3
$r39 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r5)	U	$r39
$r49[0] = r6	U	$r49[0]
r1 := @parameter0: java.io.PrintWriter	R	r1
$r46 = newarray (java.lang.Object)[1]	C	$r46
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r25)	R	$r1
$r22 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r6)	U	$r22
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r4)	R	$r0
$r41 = virtualinvoke $r40.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r41
if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	R	$r2
r2 := @parameter1: org.apache.catalina.util.ContextName	R	r2
$r47 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r46)	U	$r47
$r23 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.notDeployed", $r21)	U	$r23
$r31 = virtualinvoke $r29.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".war")	U	$r31
r11 = $r48	U	r11
r6 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	r6
specialinvoke $r29.<java.lang.StringBuilder: void <init>(java.lang.String)>($r30)	R	$r29
r3 := @parameter2: org.apache.tomcat.util.res.StringManager	R	r3
$z2 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isServiced(java.lang.String)>(r4)	U	$z2
throw r11	R	$r11
$r51 := @caughtexception	R	$r51
$r13 = virtualinvoke $r12.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>(r2)	U	$r13
$r25 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.inService", $r24)	U	$r25
r9 = $r34	U	r9
if $z1 != 0 goto $z2 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isServiced(java.lang.String)>(r4)	R	$r0
$r48 := @caughtexception	R	$r48
$r42[0] = r33	U	$r42[0]
if $z2 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void addServiced(java.lang.String)>(r4)	R	$r0
$z4 = virtualinvoke r33.<java.io.File: boolean delete()>()	U	$z4
specialinvoke $r53.<java.lang.StringBuilder: void <init>(java.lang.String)>("ManagerServlet.undeploy[")	R	$r53
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r47)	R	$r1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r20)	R	$r1
$r49 = newarray (java.lang.Object)[1]	C	$r49
r5 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getBaseName()>()	U	r5
if $z4 != 0 goto $z5 = virtualinvoke r9.<java.io.File: boolean exists()>()	R	$r9
$r58 = virtualinvoke r52.<java.lang.Throwable: java.lang.String toString()>()	U	$r58
goto [?= return]	R	null
$r12 = new java.lang.StringBuilder	C	$r12
$r32 = virtualinvoke $r31.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r32
$r34 = new java.io.File	C	$r34
$r57 = newarray (java.lang.Object)[1]	C	$r57
$r50 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.undeployed", $r49)	U	$r50
return	R	null
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r8)	R	$r8
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r52)	R	$r52
$r53 = new java.lang.StringBuilder	C	$r53
$r18 = newarray (java.lang.Object)[1]	C	$r18
$r42 = newarray (java.lang.Object)[1]	C	$r42
$z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isDeployed(java.lang.String)>(r4)	U	$z1
$r26 := @caughtexception	R	$r26
goto [?= $r49 = newarray (java.lang.Object)[1]]	R	null
$r19 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r6)	U	$r19
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r15)	R	$r0
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	$i0
goto [?= $r27 = new java.io.File]	R	null
$r18[0] = $r19	U	$r18[0]
$z5 = virtualinvoke r9.<java.io.File: boolean exists()>()	U	$z5
$r27 = new java.io.File	C	$r27
r33 = $r27	U	r33
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r59)	R	$r1
$r44 = newarray (java.lang.Object)[1]	C	$r44
$r29 = new java.lang.StringBuilder	C	$r29
specialinvoke $r12.<java.lang.StringBuilder: void <init>(java.lang.String)>("undeploy: Undeploying web application at \'")	R	$r12
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r56, r52)	R	$r0
specialinvoke $r38.<java.lang.StringBuilder: void <init>(java.lang.String)>($r39)	R	$r38
$r24[0] = r6	U	$r24[0]
$r36 = new java.io.File	C	$r36
$z8 = virtualinvoke r10.<java.io.File: boolean delete()>()	U	$z8
specialinvoke $r36.<java.io.File: void <init>(java.io.File,java.lang.String)>($r37, $r41)	R	$r36
