Node	CRUD	DataFlowValue 	path0	path1	path2	path3	path4	path5
r0 := @this: simple.logic.Logic	R	r0	1	1	1	1	1	1
$r5 = <java.util.logging.Level: java.util.logging.Level WARNING>	U	$r5	1	1	1	1	1
$r3 := @caughtexception	R	$r3	1	1	1	1	1
$r6 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	U	$r6	1	1	1	1	1	1
r0.<simple.logic.Logic: java.lang.String code> = "254"	U	r0.<simple.logic.Logic: java.lang.String code>	1	1	1	1	1
virtualinvoke $r6.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r7, "Success create method execution.")	R	$r6	1	1	1	1	1	1
$r1 = new java.util.ArrayList	C	$r1	0	1	1	1	1	1
r0.<simple.logic.Logic: java.lang.String code> = "0"	U	r0.<simple.logic.Logic: java.lang.String code>	0	0	0	0	1	1
$r7 = <java.util.logging.Level: java.util.logging.Level INFO>	U	$r7	1	1	1	1	1	1
$r8 = r0.<simple.logic.Logic: java.lang.String code>	U	$r8	1	1	1	1	1	1
$r4 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	U	$r4	1	1	1	1	1
r2 = $r3	U	r2	1	1	1	1	1
return $r8	R	$r8	1	1	1	1	1
goto [?= $r6 = r0.<simple.logic.Logic: java.util.logging.Logger logger>]	R	null	0	0	0	0	0	1
virtualinvoke $r4.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r5, "Fail to execute create method.")	R	$r4	1	1	1	1	1
r0.<simple.logic.Logic: java.util.List data> = $r1	U	r0.<simple.logic.Logic: java.util.List data>	0	0	0	1	1	1
specialinvoke $r1.<java.util.ArrayList: void <init>()>()	R	$r1	0	0	1	1	1	1
